TEST CASE #2 : Scattering Problem

NODAL POINT COORDINATES:

NODE #  1 	 X= 2.000 	 Y= 0.000 
NODE #  47 	 PHI = -39.440 
NODE #  48 	 PHI = -39.988 
NODE #  49 	 PHI = -40.381 
NODE #  50 	 PHI = -40.617 
NODE #  51 	 PHI = -40.696 
NODE #  52 	 PHI = -40.617 
NODE #  53 	 PHI = -40.381 
NODE #  54 	 PHI = -39.988 
NODE #  55 	 PHI = -39.440 
NODE #  56 	 PHI = -38.741 
NODE #  57 	 PHI = -37.894 
NODE #  58 	 PHI = -36.890 
NODE #  59 	 PHI = -35.746 
NODE #  60 	 PHI = -34.466 
NODE #  61 	 PHI = -33.049 
NODE #  62 	 PHI = -31.512 
NODE #  63 	 PHI = -29.854 
NODE #  64 	 PHI = -28.077 
NODE #  65 	 PHI = -26.197 
NODE #  66 	 PHI = -24.217 
NODE #  67 	 PHI = -22.133 
NODE #  68 	 PHI = -19.969 
NODE #  69 	 PHI = -17.725 
NODE #  70 	 PHI = -15.403 
NODE #  71 	 PHI = -13.044 
NODE #  72 	 PHI = -10.635 
NODE #  73 	 PHI = -8.191 
NODE #  74 	 PHI = -5.709 
NODE #  75 	 PHI = -3.215 
NODE #  76 	 PHI = -0.693 
NODE #  77 	 PHI = 1.829 
NODE #  78 	 PHI = 4.323 
NODE #  79 	 PHI = 6.804 
NODE #  80 	 PHI = 9.249 
NODE #  81 	 PHI = 11.658 
NODE #  82 	 PHI = 14.016 
NODE #  83 	 PHI = 16.338 
NODE #  84 	 PHI = 18.582 
NODE #  85 	 PHI = 20.747 
NODE #  86 	 PHI = 22.830 
NODE #  87 	 PHI = 24.811 
NODE #  88 	 PHI = 26.690 
NODE #  89 	 PHI = 28.468 
NODE #  90 	 PHI = 30.125 
NODE #  91 	 PHI = 31.662 
NODE #  92 	 PHI = 33.079 
NODE #  93 	 PHI = 34.359 
NODE #  94 	 PHI = 35.503 
NODE #  95 	 PHI = 36.507 
NODE #  96 	 PHI = 37.354 
NODE #  97 	 PHI = 38.054 
NODE #  98 	 PHI = 38.601 
NODE #  99 	 PHI = 38.995 
NODE #  100 	 PHI = 39.231 

 dPHId. ON THE BOUNDARY: 
 
ELEMENT #  1 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  2 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  3 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  4 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  5 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  6 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  7 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  8 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  9 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  10 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  11 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  12 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  13 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  14 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  15 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  16 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  17 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  18 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  19 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  20 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  21 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  22 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  23 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  24 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  25 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  26 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  27 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  28 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  29 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  30 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  31 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  32 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  33 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  34 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  35 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  36 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  37 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  38 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  39 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  40 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  41 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  42 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  43 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  44 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  45 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  46 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  47 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  48 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  49 	 dPHIdX = 0.500 	 dPHIdY = 0.500 
ELEMENT #  50 	 dPHIdX = 0.500 	 dPHIdY = 0.500 

 FIELD POINTS COORDINATES AND SOLUTION: 
 
FIELD POINT #  1 	 X= -4.000 	 Y= 4.000 	 PHI= -46.734 	 dPHIdX= 10.125 	 dPHIdY= 1.125
FIELD POINT #  2 	 X= -3.000 	 Y= 4.000 	 PHI= -36.410 	 dPHIdX= 10.568 	 dPHIdY= 1.376
FIELD POINT #  3 	 X= -2.000 	 Y= 4.000 	 PHI= -25.498 	 dPHIdX= 11.300 	 dPHIdY= 1.400
FIELD POINT #  4 	 X= -1.000 	 Y= 4.000 	 PHI= -13.770 	 dPHIdX= 12.135 	 dPHIdY= 0.872
FIELD POINT #  5 	 X= 0.000 	 Y= 4.000 	 PHI= -1.386 	 dPHIdX= 12.500 	 dPHIdY= -0.250
FIELD POINT #  6 	 X= 1.000 	 Y= 4.000 	 PHI= 10.936 	 dPHIdX= 12.018 	 dPHIdY= -1.343
FIELD POINT #  7 	 X= 2.000 	 Y= 4.000 	 PHI= 22.502 	 dPHIdX= 11.100 	 dPHIdY= -1.800
FIELD POINT #  8 	 X= 3.000 	 Y= 4.000 	 PHI= 33.191 	 dPHIdX= 10.328 	 dPHIdY= -1.696
FIELD POINT #  9 	 X= 4.000 	 Y= 4.000 	 PHI= 43.268 	 dPHIdX= 9.875 	 dPHIdY= -1.375
FIELD POINT #  10 	 X= 4.000 	 Y= 3.000 	 PHI= 44.791 	 dPHIdX= 9.392 	 dPHIdY= -1.656
FIELD POINT #  11 	 X= 4.000 	 Y= 2.000 	 PHI= 46.503 	 dPHIdX= 8.600 	 dPHIdY= -1.700
FIELD POINT #  12 	 X= 4.000 	 Y= 1.000 	 PHI= 47.997 	 dPHIdX= 7.688 	 dPHIdY= -1.166
FIELD POINT #  13 	 X= 4.000 	 Y= 0.000 	 PHI= 48.615 	 dPHIdX= 7.249 	 dPHIdY= 0.000
FIELD POINT #  14 	 X= 4.000 	 Y= -1.000 	 PHI= 47.997 	 dPHIdX= 7.688 	 dPHIdY= 1.166
FIELD POINT #  15 	 X= 4.000 	 Y= -2.000 	 PHI= 46.503 	 dPHIdX= 8.600 	 dPHIdY= 1.700
FIELD POINT #  16 	 X= 4.000 	 Y= -3.000 	 PHI= 44.791 	 dPHIdX= 9.392 	 dPHIdY= 1.656
FIELD POINT #  17 	 X= 4.000 	 Y= -4.000 	 PHI= 43.268 	 dPHIdX= 9.875 	 dPHIdY= 1.375
FIELD POINT #  18 	 X= 3.000 	 Y= -4.000 	 PHI= 33.191 	 dPHIdX= 10.328 	 dPHIdY= 1.696
FIELD POINT #  19 	 X= 2.000 	 Y= -4.000 	 PHI= 22.502 	 dPHIdX= 11.100 	 dPHIdY= 1.800
FIELD POINT #  20 	 X= 1.000 	 Y= -4.000 	 PHI= 10.936 	 dPHIdX= 12.018 	 dPHIdY= 1.343
FIELD POINT #  21 	 X= 0.000 	 Y= -4.000 	 PHI= -1.386 	 dPHIdX= 12.500 	 dPHIdY= 0.250
FIELD POINT #  22 	 X= -1.000 	 Y= -4.000 	 PHI= -13.770 	 dPHIdX= 12.135 	 dPHIdY= -0.872
FIELD POINT #  23 	 X= -2.000 	 Y= -4.000 	 PHI= -25.498 	 dPHIdX= 11.300 	 dPHIdY= -1.400
FIELD POINT #  24 	 X= -3.000 	 Y= -4.000 	 PHI= -36.410 	 dPHIdX= 10.568 	 dPHIdY= -1.376
FIELD POINT #  25 	 X= -4.000 	 Y= -4.000 	 PHI= -46.734 	 dPHIdX= 10.125 	 dPHIdY= -1.125
FIELD POINT #  26 	 X= -4.000 	 Y= -3.000 	 PHI= -48.010 	 dPHIdX= 9.712 	 dPHIdY= -1.416
FIELD POINT #  27 	 X= -4.000 	 Y= -2.000 	 PHI= -49.499 	 dPHIdX= 9.000 	 dPHIdY= -1.500
FIELD POINT #  28 	 X= -4.000 	 Y= -1.000 	 PHI= -50.830 	 dPHIdX= 8.159 	 dPHIdY= -1.049
FIELD POINT #  29 	 X= -4.000 	 Y= 0.000 	 PHI= -51.388 	 dPHIdX= 7.750 	 dPHIdY= 0.000
FIELD POINT #  30 	 X= -4.000 	 Y= 1.000 	 PHI= -50.830 	 dPHIdX= 8.159 	 dPHIdY= 1.049
FIELD POINT #  31 	 X= -4.000 	 Y= 2.000 	 PHI= -49.499 	 dPHIdX= 9.000 	 dPHIdY= 1.500
FIELD POINT #  32 	 X= -4.000 	 Y= 3.000 	 PHI= -48.010 	 dPHIdX= 9.712 	 dPHIdY= 1.416
FIELD POINT #  33 	 X= 1.990 	 Y= 0.000 	 PHI= -0.733 	 dPHIdX= 190.866 	 dPHIdY= 0.000
FIELD POINT #  34 	 X= -1.990 	 Y= 0.000 	 PHI= 0.759 	 dPHIdX= 197.578 	 dPHIdY= 0.000
FIELD POINT #  35 	 X= 0.000 	 Y= -1.970 	 PHI= -0.030 	 dPHIdX= -1.677 	 dPHIdY= 2.947
FIELD POINT #  36 	 X= 0.000 	 Y= 1.970 	 PHI= -0.030 	 dPHIdX= -1.677 	 dPHIdY= -2.947
FIELD POINT #  37 	 X= 1.400 	 Y= 1.400 	 PHI= 2.145 	 dPHIdX= 78.996 	 dPHIdY= 240.845
FIELD POINT #  38 	 X= 1.400 	 Y= -1.400 	 PHI= 2.145 	 dPHIdX= 78.996 	 dPHIdY= -240.845
FIELD POINT #  39 	 X= -1.400 	 Y= 1.400 	 PHI= -2.254 	 dPHIdX= 83.067 	 dPHIdY= -253.008
FIELD POINT #  40 	 X= -1.400 	 Y= -1.400 	 PHI= -2.254 	 dPHIdX= 83.067 	 dPHIdY= 253.008
FIELD POINT #  41 	 X= 0.750 	 Y= 1.830 	 PHI= -1.111 	 dPHIdX= -144.194 	 dPHIdY= -72.541
FIELD POINT #  42 	 X= 0.750 	 Y= -1.830 	 PHI= -1.111 	 dPHIdX= -144.194 	 dPHIdY= 72.541
FIELD POINT #  43 	 X= -0.750 	 Y= 1.830 	 PHI= 1.216 	 dPHIdX= -158.223 	 dPHIdY= 79.294
FIELD POINT #  44 	 X= -0.750 	 Y= -1.830 	 PHI= 1.216 	 dPHIdX= -158.223 	 dPHIdY= -79.294
FIELD POINT #  45 	 X= 1.840 	 Y= 0.760 	 PHI= 3.267 	 dPHIdX= 989.900 	 dPHIdY= -406.021
FIELD POINT #  46 	 X= 1.840 	 Y= -0.760 	 PHI= 3.267 	 dPHIdX= 989.900 	 dPHIdY= 406.021
FIELD POINT #  47 	 X= -1.840 	 Y= 0.760 	 PHI= -3.392 	 dPHIdX= 1027.896 	 dPHIdY= 421.708
FIELD POINT #  48 	 X= -1.840 	 Y= -0.760 	 PHI= -3.392 	 dPHIdX= 1027.896 	 dPHIdY= -421.708
